pair_id,platform,method,error_px
M300H20T0038,A,ECC,7.803433418273926
M300H20T0038,A,ECC,171.62860107421875
M300H20T0038,A,ECC,142.0936737060547
M300H20T0038,A,ECC,129.11546325683594
M300H20T0038,A,ECC,8.404483795166016
M300H20T0038,A,ECC,322.14556884765625
M300H20T0038,A,ECC,64.2280044555664
M300H20T0038,A,ECC,193.86322021484375
M300H20T0038,A,ECC,77.33128356933594
M300H20T0038,A,ECC,368.2077331542969
M300H20T0038,A,MI,86.2098159790039
M300H20T0038,A,MI,236.97708129882812
M300H20T0038,A,MI,186.90440368652344
M300H20T0038,A,MI,181.056884765625
M300H20T0038,A,MI,86.17831420898438
M300H20T0038,A,MI,333.3476257324219
M300H20T0038,A,MI,150.82562255859375
M300H20T0038,A,MI,238.75637817382812
M300H20T0038,A,MI,162.21005249023438
M300H20T0038,A,MI,349.2413635253906
M300H20T0038,A,LoFTR,1.29546320438385
M300H20T0038,A,LoFTR,173.56777954101562
M300H20T0038,A,LoFTR,140.9988250732422
M300H20T0038,A,LoFTR,128.2393035888672
M300H20T0038,A,LoFTR,1.257205605506897
M300H20T0038,A,LoFTR,330.1995544433594
M300H20T0038,A,LoFTR,64.04767608642578
M300H20T0038,A,LoFTR,193.75653076171875
M300H20T0038,A,LoFTR,76.97454833984375
M300H20T0038,A,LoFTR,372.2810363769531
M300H20T0038,A,ECC+MI,86.2098159790039
M300H20T0038,A,ECC+MI,236.97708129882812
M300H20T0038,A,ECC+MI,186.90440368652344
M300H20T0038,A,ECC+MI,181.056884765625
M300H20T0038,A,ECC+MI,86.17831420898438
M300H20T0038,A,ECC+MI,333.3476257324219
M300H20T0038,A,ECC+MI,150.82562255859375
M300H20T0038,A,ECC+MI,238.75637817382812
M300H20T0038,A,ECC+MI,162.21005249023438
M300H20T0038,A,ECC+MI,349.2413635253906
M300H20T0072,A,ECC,26.76709747314453
M300H20T0072,A,ECC,33.756805419921875
M300H20T0072,A,ECC,25.69599151611328
M300H20T0072,A,ECC,25.90316390991211
M300H20T0072,A,ECC,56.26651382446289
M300H20T0072,A,ECC,269.31622314453125
M300H20T0072,A,ECC,28.324939727783203
M300H20T0072,A,ECC,32.14395523071289
M300H20T0072,A,ECC,26.346290588378906
M300H20T0072,A,ECC,128.1739501953125
M300H20T0072,A,MI,3.7322442531585693
M300H20T0072,A,MI,10.476882934570312
M300H20T0072,A,MI,5.5716423988342285
M300H20T0072,A,MI,40.509788513183594
M300H20T0072,A,MI,48.556396484375
M300H20T0072,A,MI,244.85617065429688
M300H20T0072,A,MI,4.354842662811279
M300H20T0072,A,MI,12.018112182617188
M300H20T0072,A,MI,4.653388500213623
M300H20T0072,A,MI,135.85751342773438
M300H20T0072,A,LoFTR,1.5589655637741089
M300H20T0072,A,LoFTR,8.349231719970703
M300H20T0072,A,LoFTR,0.8766133189201355
M300H20T0072,A,LoFTR,33.60422134399414
M300H20T0072,A,LoFTR,43.09203338623047
M300H20T0072,A,LoFTR,252.34446716308594
M300H20T0072,A,LoFTR,1.4859627485275269
M300H20T0072,A,LoFTR,12.369362831115723
M300H20T0072,A,LoFTR,0.30118319392204285
M300H20T0072,A,LoFTR,131.6299591064453
M300H20T0072,A,ECC+MI,38.17518997192383
M300H20T0072,A,ECC+MI,47.118831634521484
M300H20T0072,A,ECC+MI,37.47880172729492
M300H20T0072,A,ECC+MI,40.15102767944336
M300H20T0072,A,ECC+MI,70.033203125
M300H20T0072,A,ECC+MI,270.2603759765625
M300H20T0072,A,ECC+MI,41.31614303588867
M300H20T0072,A,ECC+MI,46.42872619628906
M300H20T0072,A,ECC+MI,37.83809280395508
M300H20T0072,A,ECC+MI,136.64120483398438
M300H20T0074,A,ECC,17.00921630859375
M300H20T0074,A,ECC,16.154644012451172
M300H20T0074,A,ECC,18.662256240844727
M300H20T0074,A,ECC,64.56729888916016
M300H20T0074,A,ECC,140.48159790039062
M300H20T0074,A,ECC,85.05591583251953
M300H20T0074,A,ECC,17.943809509277344
M300H20T0074,A,ECC,65.50663757324219
M300H20T0074,A,ECC,84.9286117553711
M300H20T0074,A,ECC,390.21905517578125
M300H20T0074,A,MI,5.248506546020508
M300H20T0074,A,MI,6.851221561431885
M300H20T0074,A,MI,5.495067596435547
M300H20T0074,A,MI,79.37667083740234
M300H20T0074,A,MI,151.940673828125
M300H20T0074,A,MI,92.85647583007812
M300H20T0074,A,MI,4.53928804397583
M300H20T0074,A,MI,79.90665435791016
M300H20T0074,A,MI,93.03290557861328
M300H20T0074,A,MI,366.8804931640625
M300H20T0074,A,LoFTR,0.5963858962059021
M300H20T0074,A,LoFTR,0.44813603162765503
M300H20T0074,A,LoFTR,1.9834336042404175
M300H20T0074,A,LoFTR,94.1817626953125
M300H20T0074,A,LoFTR,110.78730773925781
M300H20T0074,A,LoFTR,91.6844253540039
M300H20T0074,A,LoFTR,0.18738669157028198
M300H20T0074,A,LoFTR,94.44358825683594
M300H20T0074,A,LoFTR,91.9551773071289
M300H20T0074,A,LoFTR,446.8213806152344
M300H20T0074,A,ECC+MI,23.82366180419922
M300H20T0074,A,ECC+MI,23.72452735900879
M300H20T0074,A,ECC+MI,25.479787826538086
M300H20T0074,A,ECC+MI,58.93067169189453
M300H20T0074,A,ECC+MI,145.71810913085938
M300H20T0074,A,ECC+MI,74.79508972167969
M300H20T0074,A,ECC+MI,24.687795639038086
M300H20T0074,A,ECC+MI,59.53154373168945
M300H20T0074,A,ECC+MI,74.65565490722656
M300H20T0074,A,ECC+MI,390.3467712402344
M300H20T0120,A,ECC,57.179630279541016
M300H20T0120,A,ECC,54.17998123168945
M300H20T0120,A,ECC,45.75138854980469
M300H20T0120,A,ECC,57.038021087646484
M300H20T0120,A,ECC,48.974365234375
M300H20T0120,A,ECC,55.22528839111328
M300H20T0120,A,ECC,51.07661056518555
M300H20T0120,A,ECC,48.27525329589844
M300H20T0120,A,ECC,50.06718444824219
M300H20T0120,A,ECC,210.9646759033203
M300H20T0120,A,MI,5.42979621887207
M300H20T0120,A,MI,7.54165506362915
M300H20T0120,A,MI,6.191496849060059
M300H20T0120,A,MI,5.314179420471191
M300H20T0120,A,MI,6.6769561767578125
M300H20T0120,A,MI,6.638625621795654
M300H20T0120,A,MI,6.928139686584473
M300H20T0120,A,MI,6.69999361038208
M300H20T0120,A,MI,7.325428485870361
M300H20T0120,A,MI,234.91944885253906
M300H20T0120,A,LoFTR,0.4734838008880615
M300H20T0120,A,LoFTR,1.8588889837265015
M300H20T0120,A,LoFTR,1.0729020833969116
M300H20T0120,A,LoFTR,0.5575241446495056
M300H20T0120,A,LoFTR,0.22124773263931274
M300H20T0120,A,LoFTR,0.6583915948867798
M300H20T0120,A,LoFTR,0.6837561130523682
M300H20T0120,A,LoFTR,0.6623691916465759
M300H20T0120,A,LoFTR,1.008927583694458
M300H20T0120,A,LoFTR,257.2452697753906
M300H20T0120,A,ECC+MI,55.73572540283203
M300H20T0120,A,ECC+MI,52.09941864013672
M300H20T0120,A,ECC+MI,41.55710983276367
M300H20T0120,A,ECC+MI,55.61589431762695
M300H20T0120,A,ECC+MI,45.74264144897461
M300H20T0120,A,ECC+MI,53.282470703125
M300H20T0120,A,ECC+MI,48.29718017578125
M300H20T0120,A,ECC+MI,44.59793472290039
M300H20T0120,A,ECC+MI,46.78863525390625
M300H20T0120,A,ECC+MI,212.97381591796875
M300H20T0234,A,ECC,27.96780776977539
M300H20T0234,A,ECC,29.927907943725586
M300H20T0234,A,ECC,28.909908294677734
M300H20T0234,A,ECC,29.477895736694336
M300H20T0234,A,ECC,27.373754501342773
M300H20T0234,A,ECC,26.100032806396484
M300H20T0234,A,ECC,175.36373901367188
M300H20T0234,A,ECC,47.29325485229492
M300H20T0234,A,ECC,28.04576301574707
M300H20T0234,A,ECC,203.19400024414062
M300H20T0234,A,MI,6.6208815574646
M300H20T0234,A,MI,7.758702754974365
M300H20T0234,A,MI,6.785240173339844
M300H20T0234,A,MI,5.954837799072266
M300H20T0234,A,MI,5.461884498596191
M300H20T0234,A,MI,4.983344078063965
M300H20T0234,A,MI,140.64971923828125
M300H20T0234,A,MI,3.0709731578826904
M300H20T0234,A,MI,5.797191619873047
M300H20T0234,A,MI,169.85279846191406
M300H20T0234,A,LoFTR,0.7496906518936157
M300H20T0234,A,LoFTR,1.6338169574737549
M300H20T0234,A,LoFTR,0.9420782923698425
M300H20T0234,A,LoFTR,0.4688146114349365
M300H20T0234,A,LoFTR,0.10433319211006165
M300H20T0234,A,LoFTR,1.1053025722503662
M300H20T0234,A,LoFTR,141.6753387451172
M300H20T0234,A,LoFTR,0.402457058429718
M300H20T0234,A,LoFTR,0.6975291967391968
M300H20T0234,A,LoFTR,171.00987243652344
M300H20T0234,A,ECC+MI,167.16314697265625
M300H20T0234,A,ECC+MI,169.66773986816406
M300H20T0234,A,ECC+MI,167.77322387695312
M300H20T0234,A,ECC+MI,167.8540802001953
M300H20T0234,A,ECC+MI,164.89183044433594
M300H20T0234,A,ECC+MI,163.90220642089844
M300H20T0234,A,ECC+MI,232.06228637695312
M300H20T0234,A,ECC+MI,174.37745666503906
M300H20T0234,A,ECC+MI,166.12730407714844
M300H20T0234,A,ECC+MI,232.99412536621094
M300H20T0237,A,ECC,1.6302845478057861
M300H20T0237,A,ECC,0.5081045031547546
M300H20T0237,A,ECC,0.6157418489456177
M300H20T0237,A,ECC,0.9314274787902832
M300H20T0237,A,ECC,1.033918023109436
M300H20T0237,A,ECC,1.2833157777786255
M300H20T0237,A,ECC,1.7368875741958618
M300H20T0237,A,ECC,0.6937279105186462
M300H20T0237,A,ECC,0.3434276878833771
M300H20T0237,A,ECC,2.224073886871338
M300H20T0237,A,MI,9.952670097351074
M300H20T0237,A,MI,11.333439826965332
M300H20T0237,A,MI,10.751782417297363
M300H20T0237,A,MI,10.649795532226562
M300H20T0237,A,MI,10.969825744628906
M300H20T0237,A,MI,10.158417701721191
M300H20T0237,A,MI,9.636893272399902
M300H20T0237,A,MI,10.778437614440918
M300H20T0237,A,MI,11.297611236572266
M300H20T0237,A,MI,9.571240425109863
M300H20T0237,A,LoFTR,0.7944658398628235
M300H20T0237,A,LoFTR,0.5895956158638
M300H20T0237,A,LoFTR,0.6770927309989929
M300H20T0237,A,LoFTR,0.49527713656425476
M300H20T0237,A,LoFTR,0.7476087212562561
M300H20T0237,A,LoFTR,0.49373695254325867
M300H20T0237,A,LoFTR,0.6948122382164001
M300H20T0237,A,LoFTR,0.9176440238952637
M300H20T0237,A,LoFTR,0.7606461644172668
M300H20T0237,A,LoFTR,0.9687206149101257
M300H20T0237,A,ECC+MI,9.952670097351074
M300H20T0237,A,ECC+MI,11.333439826965332
M300H20T0237,A,ECC+MI,10.751782417297363
M300H20T0237,A,ECC+MI,10.649795532226562
M300H20T0237,A,ECC+MI,10.969825744628906
M300H20T0237,A,ECC+MI,10.158417701721191
M300H20T0237,A,ECC+MI,9.636893272399902
M300H20T0237,A,ECC+MI,10.778437614440918
M300H20T0237,A,ECC+MI,11.297611236572266
M300H20T0237,A,ECC+MI,9.571240425109863
M300H20T0348,A,ECC,4.177732944488525
M300H20T0348,A,ECC,5.103916645050049
M300H20T0348,A,ECC,6.848318576812744
M300H20T0348,A,ECC,7.808119773864746
M300H20T0348,A,ECC,6.171370029449463
M300H20T0348,A,ECC,8.047599792480469
M300H20T0348,A,ECC,6.187999725341797
M300H20T0348,A,ECC,6.753732204437256
M300H20T0348,A,ECC,3.890805721282959
M300H20T0348,A,ECC,7.167799949645996
M300H20T0348,A,MI,7.471376895904541
M300H20T0348,A,MI,7.66328763961792
M300H20T0348,A,MI,5.272098541259766
M300H20T0348,A,MI,5.112824440002441
M300H20T0348,A,MI,6.320517063140869
M300H20T0348,A,MI,5.114329814910889
M300H20T0348,A,MI,5.805109024047852
M300H20T0348,A,MI,5.1229166984558105
M300H20T0348,A,MI,5.163540363311768
M300H20T0348,A,MI,5.285310745239258
M300H20T0348,A,LoFTR,2.0093328952789307
M300H20T0348,A,LoFTR,1.7961071729660034
M300H20T0348,A,LoFTR,1.3891628980636597
M300H20T0348,A,LoFTR,0.896452009677887
M300H20T0348,A,LoFTR,0.8204253315925598
M300H20T0348,A,LoFTR,0.7386854290962219
M300H20T0348,A,LoFTR,1.1516635417938232
M300H20T0348,A,LoFTR,1.673988938331604
M300H20T0348,A,LoFTR,1.0330157279968262
M300H20T0348,A,LoFTR,1.2199485301971436
M300H20T0348,A,ECC+MI,4.431271076202393
M300H20T0348,A,ECC+MI,4.356071949005127
M300H20T0348,A,ECC+MI,3.66129994392395
M300H20T0348,A,ECC+MI,3.4009225368499756
M300H20T0348,A,ECC+MI,3.465266704559326
M300H20T0348,A,ECC+MI,4.106602668762207
M300H20T0348,A,ECC+MI,3.4491264820098877
M300H20T0348,A,ECC+MI,4.099355697631836
M300H20T0348,A,ECC+MI,3.2232697010040283
M300H20T0348,A,ECC+MI,3.2988483905792236
M300H20T0354,A,ECC,0.9666374325752258
M300H20T0354,A,ECC,1.155889868736267
M300H20T0354,A,ECC,1.1296446323394775
M300H20T0354,A,ECC,1.696251630783081
M300H20T0354,A,ECC,1.7201464176177979
M300H20T0354,A,ECC,0.4765898287296295
M300H20T0354,A,ECC,1.0361381769180298
M300H20T0354,A,ECC,274.9530334472656
M300H20T0354,A,ECC,2.276172637939453
M300H20T0354,A,ECC,1.4122953414916992
M300H20T0354,A,MI,11.573946952819824
M300H20T0354,A,MI,11.671680450439453
M300H20T0354,A,MI,12.100160598754883
M300H20T0354,A,MI,12.706613540649414
M300H20T0354,A,MI,11.461787223815918
M300H20T0354,A,MI,10.808910369873047
M300H20T0354,A,MI,9.997421264648438
M300H20T0354,A,MI,281.97802734375
M300H20T0354,A,MI,12.254067420959473
M300H20T0354,A,MI,12.034272193908691
M300H20T0354,A,LoFTR,0.4183797538280487
M300H20T0354,A,LoFTR,0.18710355460643768
M300H20T0354,A,LoFTR,0.5257143974304199
M300H20T0354,A,LoFTR,1.4059494733810425
M300H20T0354,A,LoFTR,1.1918991804122925
M300H20T0354,A,LoFTR,0.995146632194519
M300H20T0354,A,LoFTR,1.7069878578186035
M300H20T0354,A,LoFTR,274.0821533203125
M300H20T0354,A,LoFTR,1.5113965272903442
M300H20T0354,A,LoFTR,0.523746132850647
M300H20T0354,A,ECC+MI,11.573946952819824
M300H20T0354,A,ECC+MI,11.671680450439453
M300H20T0354,A,ECC+MI,12.100160598754883
M300H20T0354,A,ECC+MI,12.706613540649414
M300H20T0354,A,ECC+MI,11.461787223815918
M300H20T0354,A,ECC+MI,10.808910369873047
M300H20T0354,A,ECC+MI,9.997421264648438
M300H20T0354,A,ECC+MI,281.97802734375
M300H20T0354,A,ECC+MI,12.254067420959473
M300H20T0354,A,ECC+MI,12.034272193908691
M300H20T0528,A,ECC,63.96580505371094
M300H20T0528,A,ECC,64.02677154541016
M300H20T0528,A,ECC,272.1490173339844
M300H20T0528,A,ECC,7.6437859535217285
M300H20T0528,A,ECC,2.2052955627441406
M300H20T0528,A,ECC,159.5247039794922
M300H20T0528,A,ECC,2.443690061569214
M300H20T0528,A,ECC,8.369627952575684
M300H20T0528,A,ECC,0.2734515368938446
M300H20T0528,A,ECC,11.616674423217773
M300H20T0528,A,MI,83.22122955322266
M300H20T0528,A,MI,83.18301391601562
M300H20T0528,A,MI,290.6214294433594
M300H20T0528,A,MI,16.679624557495117
M300H20T0528,A,MI,19.537010192871094
M300H20T0528,A,MI,180.70745849609375
M300H20T0528,A,MI,19.86199951171875
M300H20T0528,A,MI,13.442277908325195
M300H20T0528,A,MI,21.467607498168945
M300H20T0528,A,MI,12.078913688659668
M300H20T0528,A,LoFTR,59.635528564453125
M300H20T0528,A,LoFTR,59.5898551940918
M300H20T0528,A,LoFTR,270.2512512207031
M300H20T0528,A,LoFTR,2.631587266921997
M300H20T0528,A,LoFTR,2.0197086334228516
M300H20T0528,A,LoFTR,153.166015625
M300H20T0528,A,LoFTR,1.143947958946228
M300H20T0528,A,LoFTR,2.5151052474975586
M300H20T0528,A,LoFTR,0.9289533495903015
M300H20T0528,A,LoFTR,2.941103458404541
M300H20T0528,A,ECC+MI,83.22122955322266
M300H20T0528,A,ECC+MI,83.18301391601562
M300H20T0528,A,ECC+MI,290.6214294433594
M300H20T0528,A,ECC+MI,16.679624557495117
M300H20T0528,A,ECC+MI,19.537010192871094
M300H20T0528,A,ECC+MI,180.70745849609375
M300H20T0528,A,ECC+MI,19.86199951171875
M300H20T0528,A,ECC+MI,13.442277908325195
M300H20T0528,A,ECC+MI,21.467607498168945
M300H20T0528,A,ECC+MI,12.078913688659668
M300H20T0544,A,ECC,7.7731170654296875
M300H20T0544,A,ECC,8.552765846252441
M300H20T0544,A,ECC,1.2617785930633545
M300H20T0544,A,ECC,1.6208934783935547
M300H20T0544,A,ECC,9.101195335388184
M300H20T0544,A,ECC,9.749482154846191
M300H20T0544,A,ECC,86.74726104736328
M300H20T0544,A,ECC,1.4176489114761353
M300H20T0544,A,ECC,1.8769731521606445
M300H20T0544,A,ECC,6.26155948638916
M300H20T0544,A,MI,1.3610644340515137
M300H20T0544,A,MI,3.6282358169555664
M300H20T0544,A,MI,8.409259796142578
M300H20T0544,A,MI,7.277304649353027
M300H20T0544,A,MI,4.197033405303955
M300H20T0544,A,MI,3.1147429943084717
M300H20T0544,A,MI,83.12230682373047
M300H20T0544,A,MI,7.686500549316406
M300H20T0544,A,MI,6.1575140953063965
M300H20T0544,A,MI,1.6740108728408813
M300H20T0544,A,LoFTR,4.681821346282959
M300H20T0544,A,LoFTR,0.1787881702184677
M300H20T0544,A,LoFTR,2.894273042678833
M300H20T0544,A,LoFTR,0.45002928376197815
M300H20T0544,A,LoFTR,0.546794593334198
M300H20T0544,A,LoFTR,6.705767631530762
M300H20T0544,A,LoFTR,79.24960327148438
M300H20T0544,A,LoFTR,1.4233341217041016
M300H20T0544,A,LoFTR,0.9294551014900208
M300H20T0544,A,LoFTR,3.0333192348480225
M300H20T0544,A,ECC+MI,1.3610644340515137
M300H20T0544,A,ECC+MI,3.6282358169555664
M300H20T0544,A,ECC+MI,8.409259796142578
M300H20T0544,A,ECC+MI,7.277304649353027
M300H20T0544,A,ECC+MI,4.197033405303955
M300H20T0544,A,ECC+MI,3.1147429943084717
M300H20T0544,A,ECC+MI,83.12230682373047
M300H20T0544,A,ECC+MI,7.686500549316406
M300H20T0544,A,ECC+MI,6.1575140953063965
M300H20T0544,A,ECC+MI,1.6740108728408813
DJI_00770058,B,ECC,38.14971160888672
DJI_00770058,B,ECC,118.03733825683594
DJI_00770058,B,ECC,40.15529251098633
DJI_00770058,B,ECC,38.29094696044922
DJI_00770058,B,ECC,104.40168762207031
DJI_00770058,B,ECC,45.775264739990234
DJI_00770058,B,ECC,119.68199920654297
DJI_00770058,B,ECC,35.449161529541016
DJI_00770058,B,ECC,35.8563346862793
DJI_00770058,B,ECC,63.23583221435547
DJI_00770058,B,MI,44.48820877075195
DJI_00770058,B,MI,41.009796142578125
DJI_00770058,B,MI,30.642833709716797
DJI_00770058,B,MI,45.73439025878906
DJI_00770058,B,MI,34.22892761230469
DJI_00770058,B,MI,33.17242431640625
DJI_00770058,B,MI,41.141990661621094
DJI_00770058,B,MI,34.57111740112305
DJI_00770058,B,MI,44.6110725402832
DJI_00770058,B,MI,34.7893180847168
DJI_00770058,B,LoFTR,6.283161640167236
DJI_00770058,B,LoFTR,1.2027851343154907
DJI_00770058,B,LoFTR,6.645899772644043
DJI_00770058,B,LoFTR,7.354511737823486
DJI_00770058,B,LoFTR,1.5805259943008423
DJI_00770058,B,LoFTR,1.0956394672393799
DJI_00770058,B,LoFTR,0.5285613536834717
DJI_00770058,B,LoFTR,1.0196151733398438
DJI_00770058,B,LoFTR,6.445761680603027
DJI_00770058,B,LoFTR,5.253470420837402
DJI_00770058,B,ECC+MI,44.02928924560547
DJI_00770058,B,ECC+MI,131.19937133789062
DJI_00770058,B,ECC+MI,34.27738952636719
DJI_00770058,B,ECC+MI,44.71909713745117
DJI_00770058,B,ECC+MI,118.02198028564453
DJI_00770058,B,ECC+MI,33.180458068847656
DJI_00770058,B,ECC+MI,132.80178833007812
DJI_00770058,B,ECC+MI,28.46257972717285
DJI_00770058,B,ECC+MI,28.341567993164062
DJI_00770058,B,ECC+MI,47.77597427368164
DJI_00770203,B,ECC,7.303949356079102
DJI_00770203,B,ECC,147.8134002685547
DJI_00770203,B,ECC,11.01707649230957
DJI_00770203,B,ECC,55.721031188964844
DJI_00770203,B,ECC,264.3034362792969
DJI_00770203,B,ECC,0.432644784450531
DJI_00770203,B,ECC,2.464972496032715
DJI_00770203,B,ECC,265.4083557128906
DJI_00770203,B,ECC,394.07550048828125
DJI_00770203,B,ECC,147.65451049804688
DJI_00770203,B,MI,110.97852325439453
DJI_00770203,B,MI,87.97288513183594
DJI_00770203,B,MI,117.67584991455078
DJI_00770203,B,MI,108.93812561035156
DJI_00770203,B,MI,161.42747497558594
DJI_00770203,B,MI,111.09968566894531
DJI_00770203,B,MI,109.56564331054688
DJI_00770203,B,MI,239.30841064453125
DJI_00770203,B,MI,428.67742919921875
DJI_00770203,B,MI,127.35292053222656
DJI_00770203,B,LoFTR,0.09686856716871262
DJI_00770203,B,LoFTR,125.5546875
DJI_00770203,B,LoFTR,14.29240894317627
DJI_00770203,B,LoFTR,61.90486145019531
DJI_00770203,B,LoFTR,262.891845703125
DJI_00770203,B,LoFTR,3.830066204071045
DJI_00770203,B,LoFTR,0.4737796485424042
DJI_00770203,B,LoFTR,269.6633605957031
DJI_00770203,B,LoFTR,413.9465637207031
DJI_00770203,B,LoFTR,129.1021270751953
DJI_00770203,B,ECC+MI,110.97852325439453
DJI_00770203,B,ECC+MI,87.97288513183594
DJI_00770203,B,ECC+MI,117.67584991455078
DJI_00770203,B,ECC+MI,108.93812561035156
DJI_00770203,B,ECC+MI,161.42747497558594
DJI_00770203,B,ECC+MI,111.09968566894531
DJI_00770203,B,ECC+MI,109.56564331054688
DJI_00770203,B,ECC+MI,239.30841064453125
DJI_00770203,B,ECC+MI,428.67742919921875
DJI_00770203,B,ECC+MI,127.35292053222656
DJI_00770287,B,ECC,367.8804931640625
DJI_00770287,B,ECC,362.1258239746094
DJI_00770287,B,ECC,380.80230712890625
DJI_00770287,B,ECC,373.7688903808594
DJI_00770287,B,ECC,373.72381591796875
DJI_00770287,B,ECC,200.4001922607422
DJI_00770287,B,ECC,142.81570434570312
DJI_00770287,B,ECC,46.217254638671875
DJI_00770287,B,ECC,67.02593231201172
DJI_00770287,B,ECC,34.89656448364258
