pair_id,platform,ransac_thr,max_iters,mi,ef1,chamfer,time_s,ok,n_matches,n_inliers
M300H20T0038,A,2.0,2000,0.10465762835104442,0.2993215417747216,20.735120269412278,1.0038492000003316,1,30,6
M300H20T0072,A,2.0,2000,0.08383109453013571,0.2873712660314699,26.814428070428075,0.10422690000086732,1,38,10
M300H20T0074,A,2.0,2000,0.09777594218722752,0.33762376298713115,16.57495566596298,0.3446873000002597,1,24,7
M300H20T0120,A,2.0,2000,0.13479779358075603,0.39956306810050163,17.163309711786063,0.36697580000054586,1,30,12
M300H20T0234,A,2.0,2000,0.08333435449438516,0.318061561353048,16.03436140889453,0.26506160000008094,1,35,18
M300H20T0237,A,2.0,2000,0.09151137885453495,0.38251503540765913,16.367378469156538,0.09686629999941943,1,34,21
M300H20T0348,A,2.0,2000,0.09151871705778708,0.23737726963753464,15.208484875781684,0.10588629999983823,1,45,22
M300H20T0354,A,2.0,2000,0.14806646279125435,0.46516819930840414,11.572639225193498,0.4442122999989806,1,24,13
M300H20T0528,A,2.0,2000,0.1893629637978465,0.6006267828566323,8.687942080333052,0.10217619999912131,1,29,7
M300H20T0544,A,2.0,2000,0.2548917920774432,0.638948921354504,6.384729479033452,0.09157989999948768,1,47,12
DJI_00770058,B,2.0,2000,0.23101548460460108,0.5505781258416639,8.345104612447535,0.3591685999999754,1,82,27
DJI_00770203,B,2.0,2000,0.15750622129871267,0.48225896075284896,11.005613501462818,0.33547579999958543,1,24,5
DJI_00770287,B,2.0,2000,0.2559268691210453,0.47389613251537394,11.743788550802371,0.31221850000019913,1,64,21
DJI_00790045,B,2.0,2000,0.25035326613594666,0.6055779287082051,6.926257355117388,0.09635489999982383,1,86,38
DJI_00790094,B,2.0,2000,0.4169532610874918,0.5741071983024763,12.377295899627198,0.4214805999999953,1,35,8
DJI_00810098,B,2.0,2000,0.24071772190996515,0.5251717635190554,11.77830557519055,0.30527799999981653,1,76,34
DJI_00810117,B,2.0,2000,0.2213773051694936,0.4631131953445906,17.311529619734376,0.26087100000040664,1,35,15
DJI_00810185,B,2.0,2000,0.29143176114991015,0.6571904813379089,5.552864829344927,0.4213559999998324,1,98,47
DJI_00810257,B,2.0,2000,0.22086122543982714,0.47553240368763244,10.765075623687672,0.22819210000034218,1,22,7
DJI_00810265,B,2.0,2000,0.19184117114903904,0.4596786868281361,15.170930055476148,0.4673153000003367,1,25,12
DJI_00810283,B,2.0,2000,0.23355193918614758,0.4345627463445563,15.607794853066874,0.28492409999944357,1,34,12
DJI_00810320,B,2.0,2000,0.2836237662101275,0.4053967917782747,23.94024842179767,0.3553605000006428,1,39,14
DJI_00810368,B,2.0,2000,0.12224736541716906,0.33957509641906247,12.564572547884197,0.3812178000007407,1,23,4
DJI_00810460,B,2.0,2000,0.19943663819385637,0.4497235613879676,12.26468607077484,0.25626240000019607,1,33,8
DJI_00810502,B,2.0,2000,0.20815293698400028,0.433215485020591,18.849447761486115,0.28641780000089057,1,33,15
DJI_00810524,B,2.0,2000,0.23278790880592268,0.43484294541398677,12.116027259680486,0.09405879999940225,1,52,18
DJI_00810543,B,2.0,2000,0.2920809660426036,0.4062795903082562,18.475023013606645,0.42638739999983954,1,29,13
DJI_00810638,B,2.0,2000,0.12591215506174713,0.44092085871125924,10.937188096494705,0.09241370000017923,1,45,14
DJI_00810668,B,2.0,2000,0.13672189040606497,0.4489346886949933,12.36945997966738,0.09660830000029819,1,19,8
DJI_00810686,B,2.0,2000,0.09229155020268995,0.24629510848291078,18.155482361546174,0.11180179999973916,1,13,4
DJI_08380118,C,2.0,2000,0.4173816741234907,0.7925606236810143,5.29322214475106,0.09496210000088467,1,160,54
DJI_08380155,C,2.0,2000,0.4335281040866561,0.7308507203198036,10.472866606073229,0.0960376000002725,1,335,141
DJI_08380231,C,2.0,2000,0.4051648674676591,0.7031909257806278,4.416295772389234,0.1663098999997601,1,78,20
DJI_08380251,C,2.0,2000,0.3273201597329527,0.7665184969578631,6.132116955170756,0.10484489999998914,1,287,82
DJI_08380339,C,2.0,2000,0.3598672455548767,0.6915362499215733,8.684404495450556,0.2763755999994828,1,97,46
DJI_08380426,C,2.0,2000,0.42072027375846044,0.7153250230389567,6.406257336601598,0.2866855000011128,1,413,242
DJI_08380613,C,2.0,2000,0.28417589799393655,0.23548712120079585,18.269571939460253,0.1542807999994693,1,251,76
DJI_08380647,C,2.0,2000,0.2525086927493758,0.32445078100052616,11.634059548800037,0.1912425999998959,1,127,49
DJI_08380711,C,2.0,2000,0.30191323657301217,0.586265622067905,11.64347212823037,0.1111086000000796,1,158,78
DJI_08380811,C,2.0,2000,0.39151112947079947,0.6010883844320212,8.236411229676772,0.3681849000004149,1,273,119
YU2AIR0042,D,2.0,2000,0.09268107444400434,0.8226724238494194,2.0393442593735376,0.0993663999997807,1,26,6
YU2AIR0075,D,2.0,2000,0.09606624471555691,0.8421050023260835,2.0186545053354124,0.0929005000007237,1,43,11
YU2AIR0145,D,2.0,2000,0.12194616875719039,0.6900047505925286,16.693297964739056,0.09488160000091739,1,26,5
YU2G0035,D,2.0,2000,0.5690557237848959,0.7112268271091353,6.97244790549549,0.09304140000040206,1,100,55
YU2G0087,D,2.0,2000,0.5491000088477684,0.5081763536604843,9.214032423794333,0.10150809999959165,1,427,210
YU2G0312,D,2.0,2000,0.14223612677548747,0.1034457796438396,51.6059546126167,0.1590014000003066,1,23,12
YU2G0373,D,2.0,2000,0.2633885379792084,0.4934488075560934,14.140725139095244,0.23975549999886425,1,238,132
YU2G0378,D,2.0,2000,0.2654724607931215,0.4316879039203458,16.008835882576093,0.343590999999833,1,151,82
YU2G0388,D,2.0,2000,0.3516509016063881,0.2289912051159856,24.758480096856545,0.4385937000006379,1,17,7
YU2G0422,D,2.0,2000,0.26661861892482175,0.32327692236903127,20.7422652489368,0.0956371999991461,1,19,5
M300H20T0038,A,2.0,10000,0.10465762835104442,0.2993215417747216,20.735120269412278,1.0043417999995654,1,30,6
M300H20T0072,A,2.0,10000,0.08383109453013571,0.2873712660314699,26.814428070428075,0.1043987000002744,1,38,10
M300H20T0074,A,2.0,10000,0.09777594218722752,0.33762376298713115,16.57495566596298,0.345355099999324,1,24,7
M300H20T0120,A,2.0,10000,0.13479779358075603,0.39956306810050163,17.163309711786063,0.36728580000090005,1,30,12
M300H20T0234,A,2.0,10000,0.08333435449438516,0.318061561353048,16.03436140889453,0.2650315999999293,1,35,18
M300H20T0237,A,2.0,10000,0.09151137885453495,0.38251503540765913,16.367378469156538,0.09697789999972883,1,34,21
M300H20T0348,A,2.0,10000,0.09151871705778708,0.23737726963753464,15.208484875781684,0.1059082000001581,1,45,22
M300H20T0354,A,2.0,10000,0.14806646279125435,0.46516819930840414,11.572639225193498,0.4442591999995784,1,24,13
M300H20T0528,A,2.0,10000,0.1893629637978465,0.6006267828566323,8.687942080333052,0.10241259999929753,1,29,7
M300H20T0544,A,2.0,10000,0.2548917920774432,0.638948921354504,6.384729479033452,0.09144669999932376,1,47,12
DJI_00770058,B,2.0,10000,0.23101548460460108,0.5505781258416639,8.345104612447535,0.35899349999999686,1,82,27
DJI_00770203,B,2.0,10000,0.15750622129871267,0.48225896075284896,11.005613501462818,0.3355427000005875,1,24,5
DJI_00770287,B,2.0,10000,0.2559268691210453,0.47389613251537394,11.743788550802371,0.3123395000002347,1,64,21
DJI_00790045,B,2.0,10000,0.25035326613594666,0.6055779287082051,6.926257355117388,0.09786710000025778,1,86,38
DJI_00790094,B,2.0,10000,0.4169532610874918,0.5741071983024763,12.377295899627198,0.4219198000000688,1,35,8
DJI_00810098,B,2.0,10000,0.24071772190996515,0.5251717635190554,11.77830557519055,0.3052393000007214,1,76,34
DJI_00810117,B,2.0,10000,0.2213773051694936,0.4631131953445906,17.311529619734376,0.2612441999999646,1,35,15
DJI_00810185,B,2.0,10000,0.29143176114991015,0.6571904813379089,5.552864829344927,0.42135249999955704,1,98,47
DJI_00810257,B,2.0,10000,0.22086122543982714,0.47553240368763244,10.765075623687672,0.22824709999986226,1,22,7
DJI_00810265,B,2.0,10000,0.19184117114903904,0.4596786868281361,15.170930055476148,0.4670645999995031,1,25,12
DJI_00810283,B,2.0,10000,0.23355193918614758,0.4345627463445563,15.607794853066874,0.28542559999914374,1,34,12
DJI_00810320,B,2.0,10000,0.2836237662101275,0.4053967917782747,23.94024842179767,0.355489800000214,1,39,14
DJI_00810368,B,2.0,10000,0.12224736541716906,0.33957509641906247,12.564572547884197,0.3814596000001984,1,23,4
DJI_00810460,B,2.0,10000,0.19943663819385637,0.4497235613879676,12.26468607077484,0.25632519999999204,1,33,8
DJI_00810502,B,2.0,10000,0.20815293698400028,0.433215485020591,18.849447761486115,0.2846434000002773,1,33,15
DJI_00810524,B,2.0,10000,0.23278790880592268,0.43484294541398677,12.116027259680486,0.09339519999957702,1,52,18
DJI_00810543,B,2.0,10000,0.2920809660426036,0.4062795903082562,18.475023013606645,0.4266804000008051,1,29,13
DJI_00810638,B,2.0,10000,0.12591215506174713,0.44092085871125924,10.937188096494705,0.09229320000031294,1,45,14
DJI_00810668,B,2.0,10000,0.13672189040606497,0.4489346886949933,12.36945997966738,0.09640769999987242,1,19,8
DJI_00810686,B,2.0,10000,0.09229155020268995,0.24629510848291078,18.155482361546174,0.11247910000020056,1,13,4
DJI_08380118,C,2.0,10000,0.4173816741234907,0.7925606236810143,5.29322214475106,0.09543690000009519,1,160,54
DJI_08380155,C,2.0,10000,0.4335281040866561,0.7308507203198036,10.472866606073229,0.09611740000036662,1,335,141
DJI_08380231,C,2.0,10000,0.4051648674676591,0.7031909257806278,4.416295772389234,0.16633439999986877,1,78,20
DJI_08380251,C,2.0,10000,0.3273201597329527,0.7665184969578631,6.132116955170756,0.09635460000026796,1,287,82
DJI_08380339,C,2.0,10000,0.3598672455548767,0.6915362499215733,8.684404495450556,0.2755462000004627,1,97,46
DJI_08380426,C,2.0,10000,0.42072027375846044,0.7153250230389567,6.406257336601598,0.2879052000007505,1,413,242
DJI_08380613,C,2.0,10000,0.28417589799393655,0.23548712120079585,18.269571939460253,0.1537873999996009,1,251,76
DJI_08380647,C,2.0,10000,0.2525086927493758,0.32445078100052616,11.634059548800037,0.19155589999991207,1,127,49
DJI_08380711,C,2.0,10000,0.30191323657301217,0.586265622067905,11.64347212823037,0.111427900000308,1,158,78
DJI_08380811,C,2.0,10000,0.39151112947079947,0.6010883844320212,8.236411229676772,0.3683239000001777,1,273,119
YU2AIR0042,D,2.0,10000,0.09268107444400434,0.8226724238494194,2.0393442593735376,0.09920640000018466,1,26,6
YU2AIR0075,D,2.0,10000,0.09606624471555691,0.8421050023260835,2.0186545053354124,0.09264179999991029,1,43,11
YU2AIR0145,D,2.0,10000,0.12194616875719039,0.6900047505925286,16.693297964739056,0.0929046000001108,1,26,5
YU2G0035,D,2.0,10000,0.5690557237848959,0.7112268271091353,6.97244790549549,0.09312710000085644,1,100,55
YU2G0087,D,2.0,10000,0.5491000088477684,0.5081763536604843,9.214032423794333,0.10276350000003731,1,427,210
YU2G0312,D,2.0,10000,0.14223612677548747,0.1034457796438396,51.6059546126167,0.1588943000006111,1,23,12
YU2G0373,D,2.0,10000,0.2633885379792084,0.4934488075560934,14.140725139095244,0.23966719999953057,1,238,132
YU2G0378,D,2.0,10000,0.2654724607931215,0.4316879039203458,16.008835882576093,0.3435689999996612,1,151,82
YU2G0388,D,2.0,10000,0.3516509016063881,0.2289912051159856,24.758480096856545,0.4386097000005975,1,17,7
YU2G0422,D,2.0,10000,0.26661861892482175,0.32327692236903127,20.7422652489368,0.09632519999922806,1,19,5
M300H20T0038,A,5.0,2000,0.10196828421901899,0.28849767966260464,26.896870645962778,1.0039879000005385,1,30,8
M300H20T0072,A,5.0,2000,0.08216184956891673,0.27560398747083215,25.231839455386954,0.10432670000045619,1,38,11
M300H20T0074,A,5.0,2000,0.09835531720856208,0.35194142502297915,12.411541823137199,0.34497039999951085,1,24,7
M300H20T0120,A,5.0,2000,0.1288606139808714,0.3757154399386962,21.546093484330587,0.3670968000005814,1,30,15
M300H20T0234,A,5.0,2000,0.08333435449438516,0.318061561353048,16.03436140889453,0.2649788999997327,1,35,18
M300H20T0237,A,5.0,2000,0.08450407104813111,0.34633322508836156,32.20904899570254,0.09733679999953893,1,34,26
M300H20T0348,A,5.0,2000,0.09112477137289349,0.2388934325134947,17.612619521359488,0.10580229999959556,1,45,29
M300H20T0354,A,5.0,2000,0.14876873659211334,0.45775522670403496,12.510197455418682,0.44415849999950296,1,24,14
M300H20T0528,A,5.0,2000,0.18777862766815268,0.6121069627023656,8.288669836846767,0.10251859999971202,1,29,12
M300H20T0544,A,5.0,2000,0.25501047086828643,0.6355192814202224,6.544785154367023,0.09191229999942152,1,47,19
DJI_00770058,B,5.0,2000,0.2230585183310908,0.5628606156870921,7.651072346248286,0.3589083999995637,1,82,54
DJI_00770203,B,5.0,2000,0.17627514730989782,0.49479998585792184,9.058883711977675,0.33552120000058494,1,24,6
DJI_00770287,B,5.0,2000,0.25456206737588055,0.47090874115105646,12.271700074722943,0.3118990999992093,1,64,32
DJI_00790045,B,5.0,2000,0.25365581143293525,0.6066101791916244,6.900611291642612,0.09777319999921019,1,86,54
DJI_00790094,B,5.0,2000,0.4212883515226616,0.5799172883573918,12.386271294692312,0.4212464000002001,1,35,13
DJI_00810098,B,5.0,2000,0.23446533750263504,0.5128682584565526,12.429548161941762,0.30554639999991196,1,76,47
DJI_00810117,B,5.0,2000,0.22301420432470306,0.45715417513833445,17.519972242803505,0.26095340000028955,1,35,19
DJI_00810185,B,5.0,2000,0.28286817307749434,0.65586850094805,5.446445158016443,0.4212831999993796,1,98,65
DJI_00810257,B,5.0,2000,0.18844940061045493,0.4420672435125847,15.892747549778909,0.22942390000025625,1,22,11
DJI_00810265,B,5.0,2000,0.19143729144188534,0.45233482136074676,15.267302714848647,0.4670646000004126,1,25,15
DJI_00810283,B,5.0,2000,0.23341290502919745,0.4330186509621214,15.739523576171077,0.2848789999998189,1,34,16
DJI_00810320,B,5.0,2000,0.2836073133776999,0.40188555395846715,24.3337859021515,0.35548779999953695,1,39,20
DJI_00810368,B,5.0,2000,0.1553736326883715,0.5122146116615746,9.272277917338275,0.3809392000002845,1,23,4
DJI_00810460,B,5.0,2000,0.19711447010193028,0.45464960600372406,12.674141174600944,0.25630720000026486,1,33,13
DJI_00810502,B,5.0,2000,0.21621391339067275,0.43028544775673416,21.592105834012862,0.28480320000016945,1,33,17
DJI_00810524,B,5.0,2000,0.21082042301908485,0.4403106032386868,11.464705654663128,0.09336079999957292,1,52,27
DJI_00810543,B,5.0,2000,0.2825809042416626,0.4108977918743882,18.83296890026366,0.4260619000006045,1,29,16
DJI_00810638,B,5.0,2000,0.13024197431574616,0.4365295944747555,10.861358323617175,0.0923702999998568,1,45,22
DJI_00810668,B,5.0,2000,0.1378129683011128,0.4444926260619885,11.789734523172443,0.09649300000091898,1,19,11
DJI_00810686,B,5.0,2000,0.06549078421809681,0.09219588940619289,65.82187063038451,0.11195210000005318,1,13,4
DJI_08380118,C,5.0,2000,0.41930932152113815,0.7960472912252755,5.211146283903984,0.09487740000076883,1,160,90
DJI_08380155,C,5.0,2000,0.43643265748749926,0.7308748344759026,9.312475157757575,0.0956757000003563,1,335,223
DJI_08380231,C,5.0,2000,0.40684875673897514,0.6985648771881642,4.884055501188584,0.16626020000057906,1,78,34
DJI_08380251,C,5.0,2000,0.3350307883550296,0.7694207478610742,5.722490375772893,0.09708330000012211,1,287,223
DJI_08380339,C,5.0,2000,0.36403970234472827,0.7035152822950644,8.329265203878798,0.2762194000006275,1,97,60
DJI_08380426,C,5.0,2000,0.42359224333264367,0.7181947555673589,6.967652822400565,0.2861703000007765,1,413,350
DJI_08380613,C,5.0,2000,0.2831971837660848,0.2341610857062703,18.406965442106227,0.15480049999951007,1,251,128
DJI_08380647,C,5.0,2000,0.24848093538428187,0.32322068133834514,11.951494335802487,0.19185000000015862,1,127,76
DJI_08380711,C,5.0,2000,0.3011822346353724,0.5910700999101794,10.832355918994141,0.11129160000018601,1,158,109
DJI_08380811,C,5.0,2000,0.39007706965288697,0.6005691182463766,8.027803080177188,0.36846240000068065,1,273,198
YU2AIR0042,D,5.0,2000,0.0895233447949216,0.8151086336426399,2.172065326681145,0.09928390000004583,1,26,8
YU2AIR0075,D,5.0,2000,0.09573209221971062,0.8389748308050949,2.0238617304639694,0.09232479999991483,1,43,15
YU2AIR0145,D,5.0,2000,0.0765394338263968,0.7413733218188752,6.260037155844895,0.092614300000605,1,26,6
YU2G0035,D,5.0,2000,0.5818369987534131,0.726675474169976,6.358856331492019,0.09322850000080507,1,100,78
YU2G0087,D,5.0,2000,0.5502801806551534,0.5055381862373959,9.221116409884925,0.10111820000020089,1,427,368
YU2G0312,D,5.0,2000,0.14212141898807834,0.0999856548558313,52.136710132302596,0.15893880000021454,1,23,16
YU2G0373,D,5.0,2000,0.26664721954873843,0.49180656722117555,14.20965735494021,0.24039519999951153,1,238,181
YU2G0378,D,5.0,2000,0.2647957042769926,0.4299340100364595,15.670751201984027,0.3435226999999941,1,151,117
YU2G0388,D,5.0,2000,0.32246285278957,0.2517972660792702,20.967920941516567,0.43858690000070055,1,17,8
YU2G0422,D,5.0,2000,0.13872413739515044,0.2510499243694195,26.211332533334286,0.095744499999455,1,19,5
M300H20T0038,A,5.0,10000,0.10196828421901899,0.28849767966260464,26.896870645962778,1.0051712000004045,1,30,8
M300H20T0072,A,5.0,10000,0.08216184956891673,0.27560398747083215,25.231839455386954,0.10419980000006035,1,38,11
M300H20T0074,A,5.0,10000,0.09835531720856208,0.35194142502297915,12.411541823137199,0.3447227999995448,1,24,7
M300H20T0120,A,5.0,10000,0.1288606139808714,0.3757154399386962,21.546093484330587,0.3671758000000409,1,30,15
M300H20T0234,A,5.0,10000,0.08333435449438516,0.318061561353048,16.03436140889453,0.26493680000021413,1,35,18
M300H20T0237,A,5.0,10000,0.08450407104813111,0.34633322508836156,32.20904899570254,0.09690279999995255,1,34,26
M300H20T0348,A,5.0,10000,0.09112477137289349,0.2388934325134947,17.612619521359488,0.10606759999973292,1,45,29
M300H20T0354,A,5.0,10000,0.14876873659211334,0.45775522670403496,12.510197455418682,0.4442959999987579,1,24,14
M300H20T0528,A,5.0,10000,0.18777862766815268,0.6121069627023656,8.288669836846767,0.10220299999946292,1,29,12
M300H20T0544,A,5.0,10000,0.25501047086828643,0.6355192814202224,6.544785154367023,0.0915192999991632,1,47,19
DJI_00770058,B,5.0,10000,0.2230585183310908,0.5628606156870921,7.651072346248286,0.359215999999833,1,82,54
DJI_00770203,B,5.0,10000,0.17627514730989782,0.49479998585792184,9.058883711977675,0.33584870000049705,1,24,6
DJI_00770287,B,5.0,10000,0.25456206737588055,0.47090874115105646,12.271700074722943,0.312081400000352,1,64,32
DJI_00790045,B,5.0,10000,0.25365581143293525,0.6066101791916244,6.900611291642612,0.09641689999989467,1,86,54
DJI_00790094,B,5.0,10000,0.4212883515226616,0.5799172883573918,12.386271294692312,0.4210330999994767,1,35,13
DJI_00810098,B,5.0,10000,0.23446533750263504,0.5128682584565526,12.429548161941762,0.30544969999937166,1,76,47
DJI_00810117,B,5.0,10000,0.22301420432470306,0.45715417513833445,17.519972242803505,0.26107040000078996,1,35,19
DJI_00810185,B,5.0,10000,0.28286817307749434,0.65586850094805,5.446445158016443,0.4213563000002978,1,98,65
DJI_00810257,B,5.0,10000,0.18844940061045493,0.4420672435125847,15.892747549778909,0.22804880000057892,1,22,11
DJI_00810265,B,5.0,10000,0.19143729144188534,0.45233482136074676,15.267302714848647,0.46705520000068645,1,25,15
DJI_00810283,B,5.0,10000,0.23341290502919745,0.4330186509621214,15.739523576171077,0.28493779999917024,1,34,16
DJI_00810320,B,5.0,10000,0.2836073133776999,0.40188555395846715,24.3337859021515,0.3557762000000366,1,39,20
DJI_00810368,B,5.0,10000,0.1553736326883715,0.5122146116615746,9.272277917338275,0.3813542999996571,1,23,4
DJI_00810460,B,5.0,10000,0.19711447010193028,0.45464960600372406,12.674141174600944,0.25614029999997,1,33,13
DJI_00810502,B,5.0,10000,0.21621391339067275,0.43028544775673416,21.592105834012862,0.28451529999983904,1,33,17
DJI_00810524,B,5.0,10000,0.21082042301908485,0.4403106032386868,11.464705654663128,0.0938200999999026,1,52,27
DJI_00810543,B,5.0,10000,0.2825809042416626,0.4108977918743882,18.83296890026366,0.426195000000007,1,29,16
DJI_00810638,B,5.0,10000,0.13024197431574616,0.4365295944747555,10.861358323617175,0.09236289999989822,1,45,22
DJI_00810668,B,5.0,10000,0.1378129683011128,0.4444926260619885,11.789734523172443,0.09646410000095784,1,19,11
DJI_00810686,B,5.0,10000,0.06549078421809681,0.09219588940619289,65.82187063038451,0.11168730000008509,1,13,4
DJI_08380118,C,5.0,10000,0.41930932152113815,0.7960472912252755,5.211146283903984,0.09484540000084962,1,160,90
DJI_08380155,C,5.0,10000,0.43643265748749926,0.7308748344759026,9.312475157757575,0.0965464000009888,1,335,223
DJI_08380231,C,5.0,10000,0.40684875673897514,0.6985648771881642,4.884055501188584,0.1664219000003868,1,78,34
DJI_08380251,C,5.0,10000,0.3350307883550296,0.7694207478610742,5.722490375772893,0.0964510000003429,1,287,223
DJI_08380339,C,5.0,10000,0.36403970234472827,0.7035152822950644,8.329265203878798,0.27547060000051715,1,97,60
DJI_08380426,C,5.0,10000,0.42359224333264367,0.7181947555673589,6.967652822400565,0.28613210000094114,1,413,350
DJI_08380613,C,5.0,10000,0.2831971837660848,0.2341610857062703,18.406965442106227,0.15363859999979468,1,251,128
DJI_08380647,C,5.0,10000,0.24848093538428187,0.32322068133834514,11.951494335802487,0.19130440000026283,1,127,76
DJI_08380711,C,5.0,10000,0.3011822346353724,0.5910700999101794,10.832355918994141,0.11097280000012688,1,158,109
DJI_08380811,C,5.0,10000,0.39007706965288697,0.6005691182463766,8.027803080177188,0.3690821000000142,1,273,198
YU2AIR0042,D,5.0,10000,0.0895233447949216,0.8151086336426399,2.172065326681145,0.09910200000012992,1,26,8
YU2AIR0075,D,5.0,10000,0.09573209221971062,0.8389748308050949,2.0238617304639694,0.09374700000080338,1,43,15
YU2AIR0145,D,5.0,10000,0.0765394338263968,0.7413733218188752,6.260037155844895,0.09310199999981705,1,26,6
YU2G0035,D,5.0,10000,0.5818369987534131,0.726675474169976,6.358856331492019,0.0927787000000535,1,100,78
YU2G0087,D,5.0,10000,0.5502801806551534,0.5055381862373959,9.221116409884925,0.10145869999996648,1,427,368
YU2G0312,D,5.0,10000,0.14212141898807834,0.0999856548558313,52.136710132302596,0.15892370000074152,1,23,16
YU2G0373,D,5.0,10000,0.26664721954873843,0.49180656722117555,14.20965735494021,0.23970159999953466,1,238,181
YU2G0378,D,5.0,10000,0.2647957042769926,0.4299340100364595,15.670751201984027,0.34346109999933105,1,151,117
YU2G0388,D,5.0,10000,0.32246285278957,0.2517972660792702,20.967920941516567,0.43867210000007617,1,17,8
YU2G0422,D,5.0,10000,0.13872413739515044,0.2510499243694195,26.211332533334286,0.09566009999980452,1,19,5
